mcsteps,xCOM,yCOM,zCOM,il8,il1,il6,il10,tnf,tgf
120000,13,181,0,9.0441654e-10,2.2219449e-11,1.9291348e-30,0.0,1.1195461e-15,1.1368218e-21
120000,108,160,0,9.264847e-10,5.7861105e-17,1.05614635e-22,1.2648381e-32,1.098057e-39,2.313914e-19
120000,177,229,0,9.473183e-10,3.2061076e-15,4.6605196e-24,2.575662e-34,4.7656154e-35,1.4186405e-25
120000,400,198,0,8.776747e-10,2.0944353e-16,0.0,0.0,5.59295e-40,4.7330216e-16
120000,193,135,0,9.24944e-10,3.3215495e-22,0.0,0.0,0.0,2.142587e-23
120000,390,152,0,9.647384e-10,1.896214e-17,2.30068e-40,0.0,3.0848e-41,1.5252729e-17
120000,328,54,0,9.197209e-10,1.88525e-11,9.0167404e-21,2.1842074e-29,4.541544e-18,5.764746e-13
120000,172,366,0,9.41803e-10,8.4725743e-13,0.0,0.0,2.1636318e-23,7.692567e-36
120000,443,60,0,8.971818e-10,4.4847993e-11,1.8089359e-26,1.999869e-38,5.724142e-16,1.4842819e-19
120000,383,316,0,9.712634e-10,4.9988853e-18,6.855604e-36,0.0,3.03e-43,1.4731434e-27
120000,247,383,0,9.0940505e-10,6.8681395e-17,9.910238e-17,6.886713e-23,5.6868547e-27,8.59837e-25
120000,333,157,0,9.908301e-10,1.9957394e-26,8.380599e-29,2.2e-44,0.0,2.5740017e-13
120000,64,146,0,9.2931907e-10,1.0302667e-12,1.275692e-19,0.0,2.9126946e-24,3.278101e-16
120000,361,414,0,9.479967e-10,4.8088727e-14,4.3665697e-16,1.5024448e-21,3.3805494e-22,1.2032175e-12
120000,458,395,0,8.894111e-10,5.9749504e-11,4.3446977e-32,0.0,3.587332e-15,5.933949e-12
120000,102,498,0,1.0622226e-09,1.00903376e-10,3.3005915e-24,1.1069798e-36,3.4385065e-13,2.057896e-10
120000,208,461,0,8.9442465e-10,6.7317224e-16,3.2103707e-17,1.9575538e-23,1.4571021e-27,1.5628682e-15
120000,36,269,0,9.189273e-10,2.593245e-15,4.915747e-16,2.9113807e-20,9.4531215e-23,1.9201168e-11
120000,195,400,0,9.844754e-10,6.543977e-19,0.0,0.0,0.0,1.4951675e-17
120000,337,37,0,9.346057e-10,1.126357e-17,6.5055356e-14,1.8720522e-18,2.1680107e-21,4.095729e-12
120000,331,276,0,9.659941e-10,2.1415424e-19,0.0,0.0,0.0,0.0
120000,418,445,0,9.493707e-10,9.227197e-17,1.3911093e-13,1.7360802e-17,6.9117487e-20,3.057604e-17
120000,415,278,0,9.874047e-10,3.7939768e-16,1.813625e-19,7.076562e-29,1.4334663e-35,3.3855187e-23
120000,169,282,0,8.861178e-10,3.2932164e-12,0.0,0.0,5.3318632e-21,0.0
120000,179,150,0,9.798371e-10,1.6706569e-25,0.0,0.0,0.0,1.8205824e-38
120000,207,152,0,9.292512e-10,2.2538196e-13,0.0,0.0,1.234754e-25,3.1170993e-20
120000,285,267,0,1.0907143e-09,3.2617175e-14,0.0,0.0,6.237721e-31,0.0
120000,125,136,0,9.54053e-10,4.8569684e-16,0.0,0.0,1.316962e-32,7.6890863e-29
120000,403,257,0,9.268903e-10,6.3923496e-21,1.4088825e-28,4e-45,0.0,1.4591837e-24
120000,114,425,0,9.450308e-10,2.2882144e-18,1.00634815e-22,5.869831e-35,5.41e-43,2.8747337e-16
120000,103,414,0,9.894613e-10,1.075786e-15,3.8602579e-31,0.0,4.058762e-33,1.5997395e-14
120000,407,412,0,9.879567e-10,2.7647622e-11,4.5379224e-17,7.1707346e-24,1.9368863e-15,3.8929014e-14
120000,228,260,0,1.0811392e-09,3.116419e-30,0.0,0.0,0.0,0.0
120000,121,293,0,9.507245e-10,3.543275e-30,0.0,0.0,0.0,1.160527e-22
120000,438,167,0,9.323465e-10,1.0635226e-12,2.6632118e-11,2.765418e-13,3.940526e-14,4.1388906e-14
120000,135,82,0,1.0135468e-09,6.178492e-25,1.1546632e-27,8.38e-43,0.0,9.813916e-19
120000,354,158,0,9.087949e-10,3.4973773e-22,0.0,0.0,0.0,7.865825e-27
120000,392,404,0,8.8247176e-10,1.0797628e-11,6.5885526e-34,0.0,8.031791e-19,2.834861e-12
120000,379,384,0,9.644059e-10,9.917841e-11,9.1599126e-33,0.0,1.6690283e-14,2.4489476e-11
120000,304,368,0,9.87265e-10,5.129096e-28,0.0,0.0,0.0,7.7910145e-28
120000,259,496,0,8.5711366e-10,1.5506307e-15,1.3398678e-33,0.0,1.3020002e-35,1.04660734e-16
120000,419,150,0,1.003681e-09,1.1432806e-14,7.352906e-11,8.8381304e-13,1.2984066e-13,4.2471132e-17
120000,390,382,0,1.0537647e-09,2.1878414e-11,2.4972115e-18,1.1809318e-24,6.654845e-17,5.601425e-19
120000,143,406,0,1.0868737e-09,1.1676013e-14,3.7e-43,0.0,2.1515707e-34,1.5233468e-18
120000,370,221,0,1.0059659e-09,3.9157444e-20,5.81201e-37,0.0,0.0,5.688124e-18
120000,174,264,0,9.443466e-10,1.9282025e-24,0.0,0.0,0.0,0.0
