meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,7.0118716e-10,0.0,0.0,0.0,0.0,0.0,3.4333333e-10,0.0,0.0,0.0,0.0,0.0
10000,5.918029e-10,6.42004e-12,0.0,0.0,1.156972e-11,0.0,4.1065934e-10,1.2024817e-10,0.0,0.0,2.1798958e-10,0.0
20000,5.8127714e-10,2.2545894e-11,7.037648e-12,1.4617647e-12,4.416986e-11,2.024923e-12,4.2469311e-10,2.2331452e-10,1.5593196e-10,3.2390517e-11,4.1580595e-10,7.7768646e-11
30000,5.7439514e-10,2.2783919e-11,1.1608062e-11,2.4071131e-12,4.520781e-11,2.0166798e-12,4.3237014e-10,2.2218893e-10,1.9995958e-10,4.153593e-11,4.153028e-10,7.730115e-11
40000,5.7903365e-10,4.6639526e-11,9.259823e-12,1.9204987e-12,8.826604e-11,1.2000144e-11,4.3641754e-10,3.1967975e-10,1.786703e-10,3.7113822e-11,5.8849103e-10,1.8877554e-10
50000,5.9541205e-10,5.8187573e-11,1.3910053e-11,2.8682993e-12,1.0861547e-10,1.4216055e-11,4.3373205e-10,3.5389955e-10,2.1817595e-10,4.5319137e-11,6.4930056e-10,2.0361261e-10
60000,6.1171374e-10,6.841251e-11,1.965276e-11,4.228775e-12,1.2998307e-10,2.0255821e-11,4.3998727e-10,3.8323017e-10,2.5579228e-10,5.4576437e-11,7.0515277e-10,2.4304453e-10
70000,6.3479927e-10,9.3984e-11,2.4481955e-11,4.9779534e-12,1.7524682e-10,2.2812172e-11,4.4148962e-10,4.4726173e-10,2.864504e-10,5.94587e-11,8.167252e-10,2.593873e-10
80000,6.5569367e-10,9.5046e-11,5.0023506e-11,1.04532355e-11,1.8569207e-10,4.2384776e-11,4.4506615e-10,4.436111e-10,4.087705e-10,8.5761606e-11,8.237223e-10,3.500433e-10
90000,6.7786704e-10,1.0308896e-10,2.66613e-11,5.587725e-12,1.9041728e-10,6.817078e-11,4.49884e-10,4.644676e-10,2.9785024e-10,6.287696e-11,8.4902263e-10,4.3791307e-10
100000,6.887621e-10,1.0379277e-10,4.064944e-11,8.568817e-12,1.9699778e-10,7.399962e-11,4.5296114e-10,4.5941256e-10,3.6567216e-10,7.7564705e-11,8.534685e-10,4.5861023e-10
110000,7.054329e-10,1.1735372e-10,4.1976533e-11,8.6745975e-12,2.2411834e-10,8.643999e-11,4.5321188e-10,4.87972e-10,3.6457082e-10,7.751607e-11,9.0994173e-10,4.9197313e-10
