mcsteps,1,2,3,4,5,6,7,8,9,10
0,3946.0,1057.0,987.0,110.0,30.0,0.0,103.0,0.0,0.0,28.0
10000,3946.0,988.0,837.0,110.0,59.0,0.0,205.0,10.0,1.0,28.0
20000,3946.0,913.0,712.0,110.0,86.0,0.0,272.0,24.0,11.0,28.0
30000,3946.0,845.0,604.0,110.0,103.0,0.0,326.0,21.0,27.0,28.0
40000,3946.0,771.0,507.0,109.0,126.0,0.0,351.0,41.0,24.0,29.0
50000,3946.0,714.0,439.0,109.0,138.0,0.0,353.0,40.0,45.0,29.0
60000,3946.0,637.0,362.0,109.0,148.0,0.0,358.0,44.0,43.0,29.0
70000,3946.0,572.0,300.0,109.0,153.0,0.0,354.0,34.0,99.0,29.0
80000,3946.0,497.0,245.0,109.0,166.0,0.0,346.0,39.0,94.0,29.0
90000,3946.0,435.0,202.0,109.0,173.0,0.0,323.0,39.0,87.0,29.0
100000,3943.0,428.0,265.0,119.0,174.0,1.0,317.0,37.0,93.0,32.0
110000,3943.0,388.0,216.0,119.0,172.0,2.0,322.0,27.0,87.0,32.0
120000,3943.0,342.0,185.0,119.0,180.0,2.0,286.0,45.0,125.0,32.0
130000,3943.0,307.0,151.0,119.0,177.0,3.0,269.0,33.0,132.0,32.0
140000,3943.0,281.0,123.0,119.0,171.0,3.0,255.0,29.0,131.0,32.0
150000,3943.0,246.0,97.0,118.0,162.0,4.0,241.0,26.0,127.0,33.0
160000,3943.0,225.0,76.0,118.0,145.0,3.0,220.0,26.0,111.0,33.0
170000,3943.0,194.0,59.0,117.0,139.0,1.0,200.0,24.0,145.0,34.0
180000,3943.0,170.0,47.0,117.0,127.0,1.0,163.0,34.0,138.0,34.0
190000,3943.0,143.0,39.0,117.0,112.0,0.0,139.0,20.0,147.0,34.0
200000,3942.0,144.0,112.0,127.0,98.0,0.0,152.0,10.0,135.0,37.0
210000,3942.0,126.0,90.0,126.0,98.0,0.0,143.0,24.0,113.0,38.0
220000,3942.0,116.0,67.0,125.0,96.0,0.0,138.0,20.0,142.0,39.0
230000,3942.0,101.0,50.0,124.0,93.0,1.0,120.0,22.0,137.0,40.0
240000,3942.0,93.0,38.0,124.0,89.0,1.0,108.0,16.0,121.0,40.0
250000,3942.0,83.0,32.0,124.0,84.0,0.0,93.0,14.0,121.0,40.0
260000,3942.0,65.0,22.0,124.0,79.0,0.0,80.0,13.0,132.0,40.0
270000,3942.0,57.0,17.0,124.0,75.0,0.0,61.0,15.0,153.0,40.0
280000,3942.0,49.0,12.0,124.0,64.0,0.0,53.0,10.0,140.0,40.0
290000,3942.0,46.0,10.0,124.0,57.0,0.0,43.0,7.0,125.0,40.0
300000,3938.0,55.0,83.0,130.0,45.0,0.0,64.0,3.0,107.0,47.0
310000,3938.0,48.0,63.0,130.0,43.0,0.0,67.0,10.0,116.0,47.0
320000,3938.0,40.0,46.0,130.0,44.0,0.0,64.0,12.0,109.0,47.0
330000,3938.0,36.0,38.0,130.0,43.0,0.0,58.0,9.0,102.0,47.0
340000,3938.0,33.0,25.0,129.0,40.0,0.0,56.0,7.0,96.0,48.0
350000,3938.0,31.0,18.0,129.0,35.0,0.0,49.0,6.0,110.0,48.0
360000,3938.0,27.0,11.0,129.0,34.0,0.0,40.0,8.0,103.0,48.0
370000,3938.0,23.0,9.0,127.0,28.0,0.0,34.0,5.0,100.0,50.0
380000,3938.0,20.0,5.0,126.0,23.0,0.0,29.0,3.0,109.0,51.0
390000,3938.0,15.0,3.0,126.0,21.0,0.0,29.0,0.0,104.0,51.0
400000,3936.0,19.0,79.0,134.0,21.0,0.0,46.0,3.0,99.0,56.0
410000,3936.0,17.0,51.0,133.0,22.0,0.0,54.0,7.0,95.0,57.0
420000,3936.0,15.0,36.0,132.0,19.0,0.0,50.0,10.0,108.0,58.0
430000,3936.0,13.0,29.0,132.0,19.0,0.0,47.0,3.0,108.0,58.0
440000,3936.0,11.0,16.0,132.0,17.0,0.0,47.0,7.0,98.0,58.0
450000,3936.0,10.0,15.0,132.0,17.0,0.0,42.0,3.0,108.0,58.0
460000,3936.0,9.0,10.0,132.0,16.0,0.0,41.0,2.0,101.0,58.0
470000,3936.0,7.0,8.0,131.0,14.0,0.0,35.0,7.0,95.0,59.0
480000,3936.0,6.0,4.0,130.0,12.0,0.0,35.0,3.0,103.0,60.0
490000,3936.0,4.0,3.0,129.0,11.0,0.0,31.0,2.0,97.0,61.0
500000,3934.0,11.0,73.0,137.0,12.0,0.0,53.0,4.0,93.0,66.0
510000,3934.0,10.0,40.0,136.0,11.0,0.0,73.0,8.0,99.0,67.0
520000,3934.0,7.0,28.0,136.0,12.0,0.0,71.0,5.0,111.0,67.0
530000,3934.0,6.0,23.0,136.0,11.0,0.0,60.0,9.0,118.0,67.0
540000,3934.0,6.0,13.0,136.0,9.0,0.0,52.0,13.0,131.0,67.0
550000,3934.0,6.0,7.0,135.0,7.0,0.0,45.0,8.0,136.0,68.0
560000,3934.0,3.0,5.0,135.0,7.0,0.0,33.0,12.0,134.0,68.0
570000,3934.0,2.0,2.0,134.0,8.0,0.0,28.0,4.0,150.0,69.0
580000,3934.0,2.0,2.0,134.0,4.0,0.0,17.0,6.0,143.0,69.0
590000,3934.0,1.0,1.0,131.0,4.0,0.0,15.0,1.0,146.0,72.0
600000,3934.0,10.0,78.0,139.0,3.0,0.0,35.0,2.0,148.0,77.0
610000,3934.0,7.0,53.0,136.0,4.0,0.0,50.0,3.0,145.0,80.0
620000,3934.0,6.0,40.0,133.0,5.0,0.0,51.0,9.0,151.0,83.0
630000,3934.0,4.0,28.0,132.0,6.0,0.0,50.0,5.0,159.0,84.0
