mcsteps,1,2,3,4,5,6,7,8,9,10
0,997.0,1059.0,968.0,110.0,36.0,0.0,129.0,0.0,0.0,28.0
10000,997.0,976.0,818.0,110.0,63.0,0.0,220.0,15.0,3.0,28.0
20000,997.0,904.0,677.0,109.0,86.0,0.0,287.0,29.0,19.0,29.0
30000,997.0,841.0,570.0,108.0,103.0,0.0,337.0,25.0,35.0,30.0
40000,997.0,773.0,483.0,108.0,111.0,0.0,360.0,36.0,27.0,30.0
50000,997.0,687.0,400.0,108.0,120.0,0.0,356.0,49.0,41.0,30.0
60000,997.0,622.0,328.0,107.0,127.0,0.0,362.0,36.0,52.0,31.0
70000,997.0,554.0,252.0,107.0,145.0,0.0,352.0,47.0,101.0,31.0
80000,997.0,483.0,211.0,107.0,152.0,0.0,332.0,37.0,106.0,31.0
90000,997.0,422.0,170.0,106.0,155.0,0.0,331.0,27.0,99.0,32.0
100000,996.0,421.0,230.0,116.0,147.0,0.0,308.0,49.0,83.0,35.0
110000,996.0,397.0,190.0,116.0,142.0,0.0,297.0,30.0,101.0,35.0
120000,996.0,360.0,159.0,116.0,146.0,0.0,272.0,37.0,140.0,35.0
130000,996.0,324.0,137.0,116.0,141.0,1.0,245.0,33.0,146.0,35.0
140000,996.0,282.0,118.0,116.0,141.0,1.0,214.0,36.0,126.0,35.0
150000,996.0,252.0,89.0,116.0,134.0,2.0,203.0,30.0,127.0,35.0
160000,996.0,236.0,73.0,116.0,122.0,1.0,180.0,31.0,116.0,35.0
170000,996.0,209.0,63.0,116.0,111.0,1.0,163.0,19.0,151.0,35.0
180000,996.0,177.0,49.0,116.0,103.0,1.0,145.0,18.0,138.0,35.0
190000,996.0,158.0,41.0,116.0,84.0,0.0,122.0,24.0,120.0,35.0
200000,996.0,160.0,112.0,125.0,72.0,0.0,135.0,13.0,111.0,39.0
210000,996.0,139.0,84.0,125.0,74.0,1.0,146.0,12.0,92.0,39.0
220000,996.0,120.0,64.0,124.0,73.0,1.0,132.0,18.0,115.0,40.0
230000,996.0,104.0,45.0,124.0,76.0,1.0,125.0,13.0,112.0,40.0
240000,996.0,94.0,33.0,124.0,78.0,1.0,109.0,21.0,107.0,40.0
250000,996.0,84.0,23.0,124.0,71.0,1.0,99.0,12.0,108.0,40.0
260000,996.0,69.0,17.0,122.0,65.0,1.0,89.0,10.0,110.0,42.0
270000,996.0,59.0,12.0,122.0,60.0,1.0,73.0,16.0,123.0,42.0
280000,996.0,53.0,9.0,122.0,54.0,1.0,65.0,7.0,119.0,42.0
290000,996.0,45.0,9.0,120.0,41.0,1.0,53.0,6.0,108.0,44.0
300000,996.0,52.0,98.0,129.0,35.0,1.0,56.0,6.0,99.0,48.0
310000,996.0,46.0,66.0,128.0,34.0,0.0,69.0,9.0,109.0,49.0
320000,996.0,42.0,50.0,126.0,36.0,0.0,64.0,11.0,97.0,51.0
330000,996.0,39.0,39.0,125.0,33.0,0.0,58.0,11.0,92.0,52.0
340000,996.0,37.0,25.0,125.0,30.0,0.0,65.0,4.0,93.0,52.0
350000,996.0,32.0,18.0,123.0,27.0,0.0,60.0,9.0,100.0,54.0
360000,996.0,27.0,14.0,123.0,26.0,0.0,48.0,13.0,91.0,54.0
370000,996.0,23.0,11.0,120.0,25.0,0.0,41.0,4.0,96.0,57.0
380000,996.0,18.0,9.0,119.0,27.0,0.0,34.0,7.0,102.0,58.0
390000,996.0,17.0,9.0,119.0,23.0,0.0,28.0,5.0,102.0,58.0
400000,996.0,26.0,77.0,129.0,16.0,0.0,55.0,2.0,100.0,61.0
410000,996.0,24.0,42.0,128.0,16.0,0.0,71.0,8.0,92.0,62.0
420000,996.0,20.0,35.0,127.0,14.0,0.0,58.0,13.0,107.0,63.0
430000,996.0,16.0,24.0,124.0,14.0,0.0,54.0,6.0,115.0,66.0
440000,996.0,13.0,20.0,123.0,16.0,0.0,52.0,4.0,109.0,67.0
450000,996.0,10.0,14.0,123.0,14.0,0.0,43.0,13.0,114.0,67.0
460000,996.0,9.0,10.0,122.0,10.0,0.0,37.0,6.0,123.0,68.0
470000,996.0,7.0,9.0,122.0,10.0,0.0,32.0,2.0,122.0,68.0
480000,996.0,4.0,6.0,120.0,10.0,0.0,25.0,4.0,128.0,70.0
490000,996.0,4.0,4.0,119.0,9.0,0.0,19.0,4.0,117.0,71.0
500000,995.0,12.0,78.0,127.0,9.0,0.0,39.0,1.0,120.0,75.0
510000,995.0,10.0,59.0,126.0,8.0,0.0,50.0,1.0,123.0,76.0
520000,995.0,10.0,40.0,126.0,7.0,0.0,55.0,3.0,122.0,76.0
530000,995.0,9.0,29.0,126.0,6.0,0.0,55.0,7.0,119.0,76.0
540000,995.0,7.0,18.0,126.0,7.0,0.0,57.0,5.0,130.0,76.0
550000,995.0,6.0,14.0,125.0,5.0,0.0,46.0,9.0,131.0,77.0
560000,995.0,5.0,10.0,123.0,3.0,0.0,34.0,8.0,130.0,79.0
570000,995.0,4.0,8.0,123.0,3.0,0.0,27.0,5.0,141.0,79.0
580000,995.0,3.0,6.0,123.0,4.0,0.0,23.0,3.0,128.0,79.0
590000,995.0,3.0,3.0,120.0,4.0,0.0,21.0,3.0,125.0,82.0
600000,995.0,13.0,80.0,129.0,4.0,0.0,40.0,2.0,130.0,85.0
610000,995.0,13.0,58.0,128.0,4.0,0.0,52.0,3.0,130.0,86.0
620000,995.0,10.0,39.0,127.0,5.0,0.0,60.0,3.0,138.0,87.0
630000,995.0,9.0,30.0,126.0,6.0,0.0,42.0,10.0,140.0,88.0
640000,995.0,7.0,20.0,124.0,8.0,0.0,45.0,5.0,142.0,90.0
650000,995.0,5.0,15.0,123.0,6.0,0.0,40.0,2.0,155.0,91.0
660000,995.0,3.0,10.0,122.0,6.0,0.0,33.0,6.0,156.0,92.0
670000,995.0,3.0,8.0,120.0,6.0,0.0,21.0,7.0,169.0,94.0
680000,995.0,2.0,5.0,120.0,6.0,0.0,21.0,0.0,171.0,94.0
690000,995.0,2.0,1.0,118.0,5.0,0.0,15.0,6.0,174.0,96.0
700000,995.0,12.0,76.0,128.0,4.0,0.0,36.0,1.0,174.0,99.0
710000,995.0,9.0,53.0,126.0,7.0,0.0,45.0,7.0,180.0,101.0
720000,995.0,7.0,44.0,125.0,8.0,0.0,40.0,3.0,194.0,102.0
730000,995.0,6.0,27.0,124.0,7.0,0.0,49.0,4.0,190.0,103.0
740000,995.0,5.0,14.0,120.0,8.0,0.0,43.0,9.0,200.0,107.0
750000,995.0,4.0,10.0,118.0,7.0,0.0,37.0,6.0,208.0,109.0
760000,995.0,4.0,9.0,116.0,6.0,0.0,31.0,4.0,217.0,111.0
770000,995.0,1.0,6.0,115.0,8.0,0.0,29.0,2.0,211.0,112.0
780000,995.0,1.0,5.0,114.0,8.0,0.0,26.0,1.0,216.0,113.0
790000,995.0,0.0,3.0,112.0,9.0,0.0,23.0,2.0,210.0,115.0
800000,995.0,9.0,78.0,121.0,8.0,0.0,45.0,1.0,214.0,118.0
810000,995.0,8.0,61.0,120.0,8.0,0.0,40.0,9.0,211.0,119.0
820000,995.0,8.0,43.0,118.0,8.0,0.0,41.0,6.0,228.0,121.0
830000,995.0,7.0,33.0,117.0,9.0,0.0,35.0,10.0,226.0,122.0
840000,995.0,5.0,23.0,114.0,9.0,0.0,30.0,9.0,240.0,125.0
850000,995.0,5.0,19.0,114.0,8.0,0.0,24.0,3.0,248.0,125.0
860000,995.0,5.0,13.0,113.0,6.0,0.0,23.0,1.0,256.0,126.0
870000,995.0,5.0,9.0,110.0,5.0,0.0,20.0,1.0,261.0,129.0
880000,995.0,4.0,8.0,108.0,5.0,0.0,18.0,3.0,257.0,131.0
890000,995.0,3.0,8.0,106.0,5.0,0.0,13.0,2.0,263.0,133.0
900000,994.0,12.0,86.0,115.0,5.0,0.0,32.0,2.0,261.0,137.0
910000,994.0,8.0,60.0,114.0,9.0,0.0,40.0,6.0,269.0,138.0
920000,994.0,7.0,45.0,108.0,9.0,0.0,45.0,4.0,275.0,144.0
930000,994.0,6.0,32.0,107.0,9.0,0.0,46.0,6.0,283.0,145.0
940000,994.0,6.0,22.0,104.0,9.0,0.0,45.0,4.0,295.0,148.0
950000,994.0,6.0,14.0,101.0,6.0,0.0,36.0,8.0,300.0,151.0
960000,994.0,6.0,10.0,101.0,5.0,0.0,26.0,6.0,316.0,151.0
970000,994.0,6.0,7.0,101.0,5.0,0.0,24.0,2.0,307.0,151.0
980000,994.0,6.0,5.0,97.0,4.0,0.0,16.0,7.0,312.0,155.0
990000,994.0,6.0,4.0,94.0,3.0,0.0,16.0,0.0,320.0,158.0
1000000,994.0,14.0,83.0,101.0,4.0,0.0,33.0,2.0,311.0,164.0
