meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,7.020875e-10,0.0,0.0,0.0,0.0,0.0,3.445676e-10,0.0,0.0,0.0,0.0,0.0
10000,6.051153e-10,8.126405e-12,0.0,0.0,1.4720544e-11,0.0,4.053852e-10,1.3557792e-10,0.0,0.0,2.457934e-10,0.0
20000,5.801431e-10,2.4696207e-11,2.3457054e-12,4.872546e-13,4.542971e-11,6.7725375e-23,4.258644e-10,2.3525415e-10,9.008848e-11,1.8713373e-11,4.2747536e-10,2.321205e-21
30000,5.8194893e-10,3.010851e-11,2.5538625e-11,5.278202e-12,6.331788e-11,5.9796864e-12,4.3322987e-10,2.5673075e-10,2.9535738e-10,6.13411e-11,4.811696e-10,1.3348439e-10
40000,5.8975197e-10,3.1110926e-11,9.3740545e-12,1.9401182e-12,5.8664615e-11,2.0364061e-11,4.3530232e-10,2.6210503e-10,1.7957238e-10,3.7300538e-11,4.784697e-10,2.4470714e-10
50000,6.003701e-10,5.6756294e-11,2.0580938e-11,4.3345965e-12,1.09705516e-10,1.6365964e-11,4.3946166e-10,3.5016387e-10,2.6133762e-10,5.5379024e-11,6.469089e-10,2.1896271e-10
60000,6.216515e-10,5.172506e-11,2.6448432e-11,5.4157945e-12,1.0128085e-10,3.7385674e-11,4.4144838e-10,3.343727e-10,2.9885516e-10,6.2043676e-11,6.173077e-10,3.2921885e-10
70000,6.441482e-10,6.332014e-11,3.6341687e-11,7.440202e-12,1.2498234e-10,3.2546615e-11,4.4540227e-10,3.6577602e-10,3.497781e-10,7.262158e-11,6.8027994e-10,3.039882e-10
80000,6.4880096e-10,8.33189e-11,4.3040835e-11,8.850554e-12,1.6801985e-10,7.616672e-11,4.489101e-10,4.1106019e-10,3.81182e-10,7.9148674e-11,7.940897e-10,4.6482457e-10
90000,6.777133e-10,9.392778e-11,4.0941635e-11,8.549512e-12,1.8195925e-10,9.8563546e-11,4.4960521e-10,4.4421852e-10,3.6728048e-10,7.7321496e-11,8.210632e-10,5.2960614e-10
100000,7.014299e-10,9.269931e-11,3.0008666e-11,6.1321417e-12,1.7333285e-10,9.0278854e-11,4.5260592e-10,4.3756063e-10,3.1803016e-10,6.599781e-11,8.076393e-10,4.971501e-10
110000,7.1449374e-10,9.889199e-11,4.0796252e-11,8.242292e-12,1.8602861e-10,6.8637e-11,4.5389237e-10,4.4908718e-10,3.6769782e-10,7.633532e-11,8.308761e-10,4.3016588e-10
120000,7.383968e-10,1.2248755e-10,3.857791e-11,7.967485e-12,2.2293427e-10,6.996017e-11,4.5649462e-10,4.9503396e-10,3.5205344e-10,7.416661e-11,9.0929786e-10,4.3468273e-10
130000,7.534421e-10,1.1442097e-10,4.4248976e-11,9.133917e-12,2.113442e-10,1.3390726e-10,4.629891e-10,4.790438e-10,3.803441e-10,7.994327e-11,8.828372e-10,6.075392e-10
140000,7.8438833e-10,1.16241745e-10,2.326949e-11,4.8192748e-12,2.1786346e-10,1.4683582e-10,4.551515e-10,4.834805e-10,2.8725583e-10,6.291962e-11,9.199332e-10,6.3020233e-10
150000,8.157064e-10,1.172835e-10,3.8417658e-11,7.839538e-12,2.1380162e-10,1.3123083e-10,4.54229e-10,4.8203297e-10,3.5875528e-10,7.449119e-11,8.9370444e-10,5.959265e-10
160000,8.3787016e-10,1.2559069e-10,2.8321645e-11,5.358507e-12,2.2945074e-10,1.4028444e-10,4.4929563e-10,4.9641585e-10,2.940044e-10,6.084932e-11,9.26387e-10,6.120188e-10
