mcsteps,xCOM,yCOM,zCOM,il8,il1,il6,il10,tnf,tgf
470000,92,395,0,1.5989646e-09,6.120235e-11,6.374339e-13,2.5706462e-17,1.2969281e-14,5.7331744e-11
470000,50,88,0,1.5830456e-09,4.4996454e-12,3.7278142e-11,4.342425e-13,1.5875544e-14,6.451768e-11
470000,290,357,0,1.8258293e-09,7.4513146e-11,5.4111185e-32,0.0,3.1531334e-13,5.081901e-14
470000,40,129,0,1.52244e-09,5.9612676e-11,7.068167e-11,1.0834577e-12,8.023941e-14,3.537297e-11
470000,476,55,0,1.2415913e-09,1.0744902e-10,5.7697296e-14,5.600127e-20,1.7235527e-10,1.731449e-10
470000,434,191,0,1.4761521e-09,2.8727359e-11,4.646545e-16,4.5119003e-25,4.433409e-14,5.443899e-12
470000,304,307,0,1.6048071e-09,5.1430263e-11,2.479529e-33,0.0,5.861545e-14,6.1648993e-15
470000,81,57,0,1.3985509e-09,3.9671825e-12,1.3984889e-11,3.634433e-14,3.666094e-16,3.9596396e-11
470000,499,41,0,1.4058935e-09,1.6147406e-10,1.5892487e-19,1.754569e-32,1.0700998e-11,7.805831e-12
470000,72,400,0,1.4201588e-09,3.2787037e-11,1.1951071e-11,1.0975456e-14,4.651959e-17,5.368792e-11
470000,334,288,0,1.5472441e-09,2.5753515e-13,6.9698533e-19,1.8820829e-30,8.2614783e-32,1.3055631e-11
470000,230,318,0,1.6232449e-09,1.5311233e-11,4.112815e-17,2.9551363e-27,1.7744698e-15,1.2533867e-10
470000,180,414,0,1.5818816e-09,3.889507e-12,4.0498955e-13,2.7999158e-18,4.383381e-22,3.679189e-12
470000,402,368,0,1.6232047e-09,2.3766586e-11,3.10762e-15,2.941164e-23,1.5239704e-16,3.2885913e-11
470000,397,116,0,1.5548853e-09,2.360698e-11,1.4083574e-18,2.8246892e-30,7.350625e-18,9.5263214e-11
470000,476,370,0,1.4142785e-09,9.7218275e-12,9.64424e-17,1.0428757e-26,1.1082574e-21,1.4373511e-10
470000,125,36,0,1.5700043e-09,3.877117e-11,1.2730773e-11,8.33044e-15,1.4129699e-14,7.317582e-11
470000,179,233,0,1.7843752e-09,3.2122793e-33,5.9906504e-17,1.8191335e-25,7.190308e-32,5.333444e-12
470000,344,384,0,1.6102196e-09,3.119278e-11,3.8953314e-16,2.5828645e-25,1.5184576e-17,5.5073456e-11
470000,293,36,0,1.4467667e-09,7.706823e-12,7.581518e-13,5.0099835e-17,4.4890565e-20,2.0144645e-11
470000,244,177,0,1.9041013e-09,2.6274677e-14,4.3e-44,0.0,1.8827151e-33,2.5592392e-10
470000,330,217,0,1.915439e-09,3.893205e-11,5.411388e-18,6.882507e-26,1.0937222e-16,7.103255e-11
470000,413,288,0,1.715297e-09,5.908131e-11,3.3279306e-18,7.4016714e-29,1.708365e-14,1.2479986e-10
470000,310,298,0,1.591047e-09,2.6030699e-12,6.399665e-22,1.4853906e-37,3.3152896e-26,1.0702573e-14
470000,202,199,0,1.8039013e-09,9.696533e-13,5.48774e-22,6.8400216e-34,1.10340024e-26,2.9049253e-15
470000,382,369,0,1.6867454e-09,3.212667e-11,5.1331414e-17,4.099588e-27,1.4797458e-18,3.518028e-14
470000,388,460,0,1.2769108e-09,5.1842163e-12,4.1444263e-18,4.685131e-30,8.362943e-25,4.1197026e-10
470000,326,42,0,1.6977917e-09,3.376197e-11,1.5926756e-11,9.720178e-14,5.7349996e-15,4.362508e-11
470000,195,188,0,1.872773e-09,1.0125316e-12,2.9708404e-34,0.0,1.10340024e-26,8.386908e-12
470000,93,54,0,1.3745496e-09,1.539141e-11,1.2623795e-11,2.3669323e-14,2.1008152e-16,7.641023e-11
470000,335,39,0,1.4916777e-09,1.5053632e-11,2.1909117e-11,8.9261525e-14,9.921219e-16,7.0726354e-12
470000,435,37,0,1.3297116e-09,5.567481e-11,2.215921e-11,8.308438e-14,4.5828557e-15,5.751337e-11
470000,286,34,0,1.3966074e-09,7.388749e-12,1.7287028e-12,1.546005e-17,1.1934645e-21,6.4629725e-11
470000,36,11,0,1.1236406e-09,2.1292286e-10,1.4648213e-10,5.8193048e-11,3.0640238e-10,1.8570773e-10
470000,7,302,0,1.3317047e-09,5.4778543e-11,1.9852258e-12,2.582565e-16,5.2605505e-16,9.826743e-13
470000,156,46,0,1.4722493e-09,9.755093e-12,4.5741253e-14,3.0188286e-20,9.538705e-19,4.429731e-11
470000,340,146,0,1.835271e-09,3.5123617e-14,1.3400629e-16,6.6682135e-26,2.9388341e-33,9.418879e-11
470000,226,271,0,1.6733688e-09,1.2365525e-15,1.9072691e-30,0.0,1.7795775e-34,2.0815099e-13
470000,156,437,0,1.6010416e-09,4.0624278e-11,1.435448e-22,4.4492061e-38,3.063766e-15,6.9785774e-11
470000,463,283,0,1.4839986e-09,1.3986958e-11,3.4951486e-11,4.7495086e-13,3.6150377e-14,5.9925266e-11
470000,153,83,0,1.6690715e-09,5.418762e-11,3.369498e-15,4.613732e-21,2.2440866e-10,3.2938225e-11
470000,412,124,0,1.6109921e-09,1.8752744e-11,6.96232e-17,5.121246e-24,2.3210808e-18,2.6557907e-12
470000,231,260,0,1.7757469e-09,2.9873954e-11,1.0247734e-22,3.2205665e-36,9.9817334e-17,1.9195987e-11
470000,116,142,0,1.6075442e-09,6.9652215e-11,3.4658474e-17,7.1508454e-26,1.5296871e-14,1.4011177e-10
470000,299,464,0,1.2436963e-09,3.942508e-11,3.962803e-12,6.7807e-16,1.412383e-16,1.2370186e-11
470000,378,292,0,1.5858255e-09,2.7389858e-11,3.0665452e-14,4.174934e-21,4.406258e-17,7.5020415e-12
470000,228,55,0,1.5217423e-09,5.4499533e-11,2.4587628e-15,1.893171e-22,6.1560064e-14,9.596229e-11
