meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,5.777567e-10,0.0,0.0,0.0,0.0,0.0,4.0265222e-10,0.0,0.0,0.0,0.0,0.0
10000,4.3829299e-10,1.2145797e-11,0.0,0.0,2.2002181e-11,0.0,4.2965043e-10,1.6560513e-10,0.0,0.0,3.0023103e-10,0.0
20000,4.1239798e-10,2.2284237e-11,6.788743e-12,1.4101722e-12,4.264178e-11,2.930193e-12,4.3177664e-10,2.2384612e-10,1.5316103e-10,3.1814936e-11,4.087897e-10,9.353663e-11
30000,3.965324e-10,3.751145e-11,1.6502674e-11,3.4279686e-12,7.228355e-11,8.551503e-12,4.2802076e-10,2.87126e-10,2.3846206e-10,4.9533846e-11,5.253968e-10,1.5960458e-10
40000,3.8942294e-10,6.785482e-11,3.8198705e-11,7.932311e-12,1.3388914e-10,1.6586338e-11,4.2853554e-10,3.858036e-10,3.6159808e-10,7.511214e-11,7.0416656e-10,2.2133963e-10
50000,3.937038e-10,8.874224e-11,1.9131774e-11,3.94914e-12,1.6468167e-10,3.049892e-11,4.2541595e-10,4.3679863e-10,2.558158e-10,5.3138823e-11,7.950287e-10,2.99206e-10
60000,4.032523e-10,9.352829e-11,3.5316333e-11,7.306255e-12,1.753953e-10,2.8513992e-11,4.2640907e-10,4.4622406e-10,3.4715147e-10,7.211188e-11,8.103197e-10,2.8616667e-10
70000,4.0926665e-10,1.1112609e-10,5.2039813e-11,1.0750005e-11,2.2064361e-10,3.720474e-11,4.244264e-10,4.8333104e-10,4.1987805e-10,8.720413e-11,8.9865515e-10,3.2753114e-10
80000,4.126276e-10,1.014989e-10,3.6930608e-11,7.602075e-12,1.8998275e-10,9.752692e-11,4.2796724e-10,4.6161816e-10,3.546555e-10,7.3479285e-11,8.425379e-10,5.267335e-10
90000,4.3292533e-10,1.1955795e-10,5.900992e-11,1.2036486e-11,2.3273161e-10,1.0238523e-10,4.2659443e-10,4.9640553e-10,4.4302875e-10,9.198163e-11,9.192543e-10,5.384712e-10
100000,4.2578288e-10,1.4015128e-10,4.0873402e-11,8.369234e-12,2.5733957e-10,1.2210812e-10,4.2559548e-10,5.2669086e-10,3.6665326e-10,7.684138e-11,9.746186e-10,5.8454525e-10
110000,4.3864695e-10,1.4811717e-10,5.8112615e-11,1.1988039e-11,2.8921102e-10,1.2315837e-10,4.2184395e-10,5.4553506e-10,4.3684734e-10,9.165277e-11,1.0225614e-09,5.895305e-10
120000,4.588059e-10,1.5013778e-10,4.6329225e-11,9.444971e-12,2.844433e-10,1.16020145e-10,4.2834344e-10,5.4870913e-10,3.9364503e-10,8.174755e-11,1.021284e-09,5.6551924e-10
130000,4.5487678e-10,1.5859414e-10,7.576123e-11,1.592903e-11,3.0302527e-10,1.9485825e-10,4.252579e-10,5.614496e-10,4.998182e-10,1.080622e-10,1.038068e-09,7.253997e-10
140000,4.7139076e-10,1.6809606e-10,4.5995034e-11,9.1550855e-12,3.092837e-10,1.9950364e-10,4.278517e-10,5.7959587e-10,3.8463877e-10,7.9760414e-11,1.0633336e-09,7.3267076e-10
150000,4.9608084e-10,1.8857206e-10,6.631835e-11,1.3343325e-11,3.4611045e-10,1.8372112e-10,4.3233003e-10,6.081513e-10,4.648798e-10,9.6497865e-11,1.1120023e-09,7.03229e-10
160000,5.264278e-10,1.9912372e-10,4.0791953e-11,8.739655e-12,3.688919e-10,1.8332622e-10,4.3356024e-10,6.295607e-10,3.5192813e-10,7.631213e-11,1.1712338e-09,6.971326e-10
170000,5.449904e-10,2.137053e-10,2.3806573e-11,4.478339e-12,3.9035192e-10,1.834313e-10,4.3360823e-10,6.4548494e-10,2.7154157e-10,5.54561e-11,1.2080242e-09,6.964632e-10
180000,5.617468e-10,1.9789624e-10,4.8685906e-11,9.806e-12,3.8538464e-10,2.404648e-10,4.399257e-10,6.1913785e-10,3.8764636e-10,8.171432e-11,1.1889302e-09,7.9999296e-10
190000,5.801448e-10,1.5906357e-10,6.122586e-11,1.2336293e-11,3.0634803e-10,2.2250908e-10,4.3965093e-10,5.4650245e-10,4.463225e-10,9.260574e-11,1.0447558e-09,7.6389534e-10
200000,5.915244e-10,1.5367985e-10,3.102097e-11,6.4431347e-12,2.7173985e-10,2.2825469e-10,4.414748e-10,5.378148e-10,3.0693867e-10,6.563806e-11,1.0003425e-09,7.677143e-10
