meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,5.7752675e-10,0.0,0.0,0.0,0.0,0.0,4.0442738e-10,0.0,0.0,0.0,0.0,0.0
10000,4.394358e-10,2.1789202e-11,0.0,0.0,3.9477397e-11,0.0,4.3292372e-10,2.2135321e-10,0.0,0.0,4.012996e-10,0.0
20000,4.1800743e-10,3.6631052e-11,1.0449479e-11,2.170587e-12,6.977949e-11,0.0,4.2615175e-10,2.8591063e-10,1.8991997e-10,3.9450578e-11,5.21744e-10,0.0
30000,3.966172e-10,5.1683272e-11,2.662006e-11,5.5269973e-12,1.037315e-10,6.0319133e-12,4.251622e-10,3.3550815e-10,3.0234493e-10,6.280391e-11,6.243732e-10,1.311982e-10
40000,4.012563e-10,7.015568e-11,4.28279e-11,8.859946e-12,1.3906891e-10,2.8326853e-11,4.2527515e-10,3.8955264e-10,3.8178405e-10,7.930298e-11,7.149219e-10,2.894641e-10
50000,3.9393433e-10,9.7656515e-11,4.1444584e-11,8.711416e-12,1.8761118e-10,3.948024e-11,4.2314097e-10,4.56769e-10,3.723118e-10,7.839637e-11,8.341084e-10,3.3995073e-10
60000,4.0367953e-10,1.2220083e-10,5.0508573e-11,1.0418292e-11,2.350156e-10,3.86781e-11,4.252585e-10,5.077696e-10,4.1333956e-10,8.582853e-11,9.2884067e-10,3.327822e-10
70000,4.0858097e-10,1.4274426e-10,2.7509287e-11,5.508541e-12,2.625973e-10,5.5822864e-11,4.24475e-10,5.430244e-10,3.0076278e-10,6.239229e-11,9.928067e-10,3.9869263e-10
80000,4.0336526e-10,1.4490567e-10,2.4604267e-11,4.880289e-12,2.63356e-10,1.0240057e-10,4.2481296e-10,5.457603e-10,2.8266928e-10,5.859077e-11,9.955673e-10,5.380174e-10
90000,4.232635e-10,1.4968286e-10,5.6314328e-11,1.1402175e-11,2.7737018e-10,8.424833e-11,4.257788e-10,5.5172067e-10,4.3089307e-10,8.9409154e-11,1.0047255e-09,4.9110077e-10
100000,4.3858062e-10,1.403664e-10,7.846309e-11,1.6306317e-11,2.6663988e-10,1.0876376e-10,4.2817605e-10,5.276553e-10,5.088894e-10,1.0666652e-10,9.72722e-10,5.5383903e-10
110000,4.4309592e-10,1.38258e-10,7.649624e-11,1.5373274e-11,2.6342742e-10,1.3293872e-10,4.2612375e-10,5.226487e-10,4.971213e-10,1.03122226e-10,9.737384e-10,6.0915817e-10
120000,4.6262685e-10,1.6715104e-10,6.096928e-11,1.2863712e-11,3.2291814e-10,1.5190407e-10,4.2894605e-10,5.798092e-10,4.4618328e-10,9.440459e-11,1.1049848e-09,6.448835e-10
130000,4.6928134e-10,1.4816705e-10,6.5030224e-11,1.3400637e-11,2.7788236e-10,2.0357926e-10,4.2925288e-10,5.3942345e-10,4.5994783e-10,9.6657966e-11,9.98911e-10,7.4418666e-10
140000,4.91841e-10,1.7923503e-10,4.272163e-11,8.5655805e-12,3.1518338e-10,2.1234786e-10,4.3397902e-10,5.928779e-10,3.7428716e-10,7.767751e-11,1.0747447e-09,7.4915557e-10
150000,4.9912147e-10,1.8242562e-10,5.4755783e-11,1.1326411e-11,3.3651115e-10,1.8913696e-10,4.3432138e-10,5.9607125e-10,4.174318e-10,8.8063834e-11,1.1007111e-09,7.130777e-10
160000,5.1522714e-10,1.9181777e-10,4.036519e-11,8.315279e-12,3.4660358e-10,2.0993965e-10,4.3458534e-10,6.183353e-10,3.5150688e-10,7.562551e-11,1.1559858e-09,7.438045e-10
170000,5.476298e-10,1.7937553e-10,5.6150994e-11,1.138861e-11,3.1728603e-10,1.6757107e-10,4.4014684e-10,5.908784e-10,4.3095338e-10,8.927513e-11,1.0711798e-09,6.670171e-10
180000,5.566394e-10,1.8063723e-10,4.7734077e-11,1.0130428e-11,3.4342995e-10,2.3484367e-10,4.3966486e-10,5.8552363e-10,3.8289283e-10,8.176728e-11,1.1573528e-09,7.825872e-10
190000,5.746309e-10,1.898211e-10,6.637631e-11,1.4111002e-11,3.4176664e-10,2.1702638e-10,4.4344767e-10,6.005787e-10,4.474862e-10,9.727795e-11,1.1008221e-09,7.5828416e-10
200000,5.9583566e-10,1.8321193e-10,3.783352e-11,7.551085e-12,3.47633e-10,2.3230835e-10,4.388094e-10,5.9481164e-10,3.514035e-10,7.2930655e-11,1.1398218e-09,7.7773793e-10
210000,6.039345e-10,1.6064258e-10,4.4691282e-11,8.658066e-12,2.9768368e-10,2.3287236e-10,4.4362755e-10,5.5164034e-10,3.743005e-10,7.7516715e-11,1.0386121e-09,7.712797e-10
220000,6.233319e-10,1.531348e-10,5.2370327e-11,1.12785345e-11,2.7356478e-10,2.082169e-10,4.4801318e-10,5.286145e-10,3.9814424e-10,8.637841e-11,9.906527e-10,7.277222e-10
230000,6.394419e-10,1.3726288e-10,1.3118181e-11,2.1276377e-12,2.3187836e-10,2.5989566e-10,4.4652118e-10,4.9754073e-10,1.8085354e-10,3.7360174e-11,9.319766e-10,8.121098e-10
240000,6.4897154e-10,1.3393836e-10,6.377079e-11,1.2394289e-11,2.5097102e-10,2.8224725e-10,4.4664963e-10,4.910051e-10,4.4255202e-10,9.156242e-11,9.615981e-10,8.4428675e-10
250000,6.710212e-10,1.4271195e-10,4.3779858e-11,9.607709e-12,2.543356e-10,2.6548083e-10,4.479142e-10,5.0463217e-10,3.5276845e-10,7.740506e-11,9.511786e-10,8.176151e-10
260000,6.93736e-10,1.4279869e-10,2.2375029e-11,4.552809e-12,2.3975766e-10,2.726596e-10,4.4700646e-10,5.024329e-10,2.3897398e-10,5.2973972e-11,9.382062e-10,8.178797e-10
270000,7.1413486e-10,1.0439294e-10,4.3079592e-11,8.283284e-12,2.0186872e-10,2.69941e-10,4.4500603e-10,4.167546e-10,3.6140638e-10,7.49739e-11,8.492204e-10,8.248609e-10
280000,7.256972e-10,1.0583202e-10,3.441188e-11,6.7055246e-12,1.9902738e-10,3.299047e-10,4.4487322e-10,4.2330486e-10,3.0939915e-10,6.533085e-11,8.43161e-10,9.056551e-10
290000,7.4255857e-10,1.1485798e-10,3.2050806e-11,7.195413e-12,2.102178e-10,3.252946e-10,4.4153572e-10,4.5932724e-10,2.8561764e-10,6.568619e-11,9.327855e-10,8.9863517e-10
300000,7.4474926e-10,1.2863051e-10,4.3795162e-11,8.778258e-12,2.2852109e-10,2.8609223e-10,4.401576e-10,4.6791265e-10,3.6150216e-10,7.62371e-11,9.011404e-10,8.352237e-10
310000,7.752287e-10,8.396826e-11,3.0266598e-11,6.6518978e-12,1.5837262e-10,2.1038495e-10,4.3787268e-10,3.5959344e-10,2.8275737e-10,6.248897e-11,7.449213e-10,7.1152917e-10
320000,7.6537554e-10,9.042955e-11,7.906787e-12,1.8798108e-12,1.611e-10,2.5839839e-10,4.4115267e-10,3.7801193e-10,5.5912542e-11,2.5676513e-11,7.9217344e-10,7.8587375e-10
330000,7.7020057e-10,7.809388e-11,2.4353923e-11,5.7858995e-12,1.2829471e-10,2.5115396e-10,4.4533027e-10,3.4663036e-10,2.4809085e-10,5.8412025e-11,6.838614e-10,7.7821e-10
340000,7.758542e-10,8.060132e-11,3.6001254e-11,7.921919e-12,1.4634702e-10,2.664287e-10,4.45257e-10,3.5180583e-10,3.1812522e-10,6.882186e-11,7.230099e-10,8.026583e-10
350000,8.048275e-10,8.3793764e-11,2.0032214e-11,4.418036e-12,1.2983618e-10,2.178703e-10,4.3633125e-10,3.6259415e-10,2.0561931e-10,4.5600343e-11,7.1682604e-10,7.154091e-10
360000,8.159644e-10,9.554379e-11,8.539485e-12,1.5622057e-12,1.6692386e-10,2.5565983e-10,4.3358742e-10,3.9088632e-10,5.560896e-11,2.2691488e-11,7.767144e-10,7.822596e-10
370000,8.329889e-10,1.1194742e-10,3.0968682e-11,6.210877e-12,1.9858491e-10,2.4537825e-10,4.3287543e-10,4.2597598e-10,2.8881889e-10,6.299233e-11,8.416423e-10,7.6588397e-10
380000,8.480155e-10,8.73645e-11,1.8992625e-11,3.4466306e-12,1.4128876e-10,2.808639e-10,4.3651e-10,3.637095e-10,2.0826792e-10,4.3988802e-11,7.1001993e-10,8.272224e-10
390000,8.478406e-10,8.428246e-11,1.193146e-11,1.9163325e-12,1.4492972e-10,2.8702501e-10,4.32213e-10,3.566616e-10,1.5038044e-10,3.074539e-11,7.171508e-10,8.181698e-10
400000,8.4673946e-10,7.608362e-11,2.3623483e-11,4.9165394e-12,1.5468783e-10,2.488037e-10,4.3510806e-10,3.236006e-10,2.4904284e-10,5.326985e-11,7.425163e-10,7.565917e-10
410000,8.48964e-10,7.313954e-11,3.1195328e-11,6.0567046e-12,1.2080983e-10,2.3675098e-10,4.4107176e-10,3.1056924e-10,2.862773e-10,6.124726e-11,6.3988403e-10,7.351499e-10
420000,8.648559e-10,7.789078e-11,1.8066734e-11,3.5139701e-12,1.2459335e-10,2.1951345e-10,4.384751e-10,3.3698572e-10,2.0600857e-10,4.3186437e-11,6.5594513e-10,7.07827e-10
430000,8.6461543e-10,7.246953e-11,6.7234725e-12,6.48075e-13,1.1524562e-10,2.4774985e-10,4.393865e-10,3.171311e-10,3.019114e-11,5.3102293e-12,6.3466915e-10,7.5461987e-10
440000,8.782486e-10,6.759534e-11,3.027243e-11,6.1871185e-12,1.11789814e-10,2.1855318e-10,4.3743406e-10,3.1248779e-10,2.9298292e-10,6.216373e-11,5.963147e-10,6.930608e-10
450000,8.87941e-10,7.9258385e-11,2.6062907e-11,5.511139e-12,1.3250619e-10,2.2222078e-10,4.4026313e-10,3.3977557e-10,2.5563188e-10,5.5472165e-11,7.067183e-10,7.0566214e-10
460000,8.8850366e-10,4.7346745e-11,1.8393538e-11,3.3290432e-12,6.150808e-11,2.7823707e-10,4.3773332e-10,2.1806368e-10,2.1025016e-10,4.3928514e-11,4.194717e-10,7.997313e-10
470000,8.9849383e-10,5.0322097e-11,1.4412567e-11,3.204009e-12,8.720768e-11,2.8853486e-10,4.3261725e-10,2.427404e-10,1.5193591e-10,3.489303e-11,5.1693616e-10,8.073698e-10
480000,9.049437e-10,4.934887e-11,3.8882505e-11,7.793631e-12,8.0837184e-11,3.1786854e-10,4.3995618e-10,2.1596037e-10,3.3090644e-10,6.8540285e-11,4.7239523e-10,8.580499e-10
490000,9.223492e-10,4.9727476e-11,1.2430721e-11,2.6940223e-12,9.656043e-11,3.3012965e-10,4.391222e-10,2.1712232e-10,1.5110628e-10,3.3659187e-11,5.313863e-10,8.796397e-10
500000,9.0243263e-10,5.1521357e-11,2.5401932e-11,5.55718e-12,7.9533546e-11,3.7476885e-10,4.368494e-10,2.3476412e-10,2.4866556e-10,5.2945023e-11,4.788106e-10,9.446187e-10
510000,8.9581265e-10,5.0688013e-11,1.807558e-11,3.6564194e-12,7.92995e-11,3.8667372e-10,4.4149737e-10,2.286279e-10,2.0133852e-10,4.2836307e-11,4.8953175e-10,9.330612e-10
520000,9.035013e-10,4.6371806e-11,1.0862434e-11,1.8636444e-12,9.854449e-11,3.92805e-10,4.4401896e-10,2.1246761e-10,1.4421095e-10,3.0150094e-11,5.3983645e-10,9.531522e-10
