mcsteps,1,2,3,4,5,6,7,8,9,10
0,3945.0,1060.0,968.0,109.0,32.0,0.0,124.0,0.0,0.0,29.0
10000,3945.0,983.0,827.0,109.0,55.0,0.0,210.0,16.0,1.0,29.0
20000,3945.0,906.0,694.0,109.0,78.0,0.0,277.0,25.0,18.0,29.0
30000,3945.0,827.0,591.0,109.0,96.0,0.0,313.0,34.0,31.0,29.0
40000,3945.0,747.0,492.0,109.0,116.0,1.0,346.0,31.0,38.0,29.0
50000,3945.0,673.0,410.0,109.0,130.0,1.0,353.0,38.0,43.0,29.0
60000,3945.0,609.0,346.0,109.0,142.0,1.0,345.0,47.0,43.0,29.0
70000,3945.0,540.0,288.0,109.0,154.0,1.0,339.0,38.0,98.0,29.0
80000,3945.0,479.0,240.0,109.0,155.0,1.0,327.0,41.0,99.0,29.0
90000,3945.0,418.0,199.0,109.0,164.0,1.0,299.0,43.0,92.0,29.0
100000,3944.0,414.0,257.0,119.0,161.0,1.0,298.0,37.0,97.0,32.0
110000,3944.0,382.0,213.0,118.0,153.0,0.0,288.0,31.0,99.0,33.0
120000,3944.0,350.0,175.0,118.0,154.0,0.0,275.0,40.0,132.0,33.0
130000,3944.0,311.0,141.0,118.0,155.0,0.0,263.0,33.0,128.0,33.0
140000,3944.0,280.0,120.0,118.0,149.0,0.0,244.0,32.0,114.0,33.0
150000,3944.0,251.0,98.0,118.0,143.0,0.0,210.0,39.0,125.0,33.0
160000,3944.0,220.0,76.0,118.0,140.0,0.0,197.0,22.0,127.0,33.0
170000,3944.0,193.0,60.0,118.0,138.0,1.0,176.0,25.0,156.0,33.0
180000,3944.0,169.0,51.0,118.0,131.0,1.0,155.0,22.0,151.0,33.0
190000,3944.0,145.0,40.0,118.0,117.0,0.0,132.0,29.0,132.0,33.0
200000,3942.0,145.0,126.0,127.0,95.0,0.0,120.0,19.0,121.0,37.0
210000,3942.0,127.0,99.0,127.0,92.0,0.0,121.0,16.0,117.0,37.0
220000,3942.0,110.0,86.0,127.0,93.0,0.0,115.0,7.0,144.0,37.0
230000,3942.0,97.0,67.0,125.0,92.0,0.0,111.0,13.0,125.0,39.0
240000,3942.0,86.0,53.0,124.0,83.0,0.0,92.0,22.0,119.0,40.0
250000,3942.0,75.0,42.0,123.0,80.0,0.0,87.0,10.0,106.0,41.0
260000,3942.0,64.0,35.0,123.0,80.0,0.0,76.0,10.0,96.0,41.0
270000,3942.0,54.0,30.0,123.0,73.0,0.0,71.0,6.0,109.0,41.0
280000,3942.0,45.0,25.0,122.0,63.0,0.0,64.0,9.0,91.0,42.0
290000,3942.0,39.0,19.0,122.0,50.0,0.0,55.0,8.0,93.0,42.0
300000,3942.0,45.0,90.0,132.0,40.0,0.0,72.0,10.0,84.0,45.0
310000,3942.0,40.0,67.0,131.0,41.0,0.0,73.0,10.0,101.0,46.0
320000,3942.0,35.0,51.0,130.0,42.0,0.0,75.0,9.0,91.0,47.0
330000,3942.0,32.0,36.0,130.0,42.0,0.0,71.0,11.0,88.0,47.0
340000,3942.0,29.0,28.0,130.0,39.0,0.0,66.0,8.0,89.0,47.0
350000,3942.0,24.0,19.0,128.0,36.0,0.0,62.0,6.0,103.0,49.0
360000,3942.0,19.0,16.0,128.0,35.0,0.0,54.0,10.0,101.0,49.0
370000,3942.0,16.0,12.0,128.0,30.0,0.0,49.0,5.0,100.0,49.0
380000,3942.0,15.0,9.0,128.0,23.0,0.0,43.0,4.0,109.0,49.0
390000,3942.0,11.0,6.0,126.0,17.0,0.0,39.0,6.0,104.0,51.0
400000,3940.0,21.0,78.0,135.0,14.0,0.0,60.0,5.0,95.0,54.0
410000,3940.0,20.0,52.0,134.0,14.0,0.0,67.0,8.0,91.0,55.0
420000,3940.0,19.0,37.0,134.0,13.0,0.0,61.0,14.0,104.0,55.0
430000,3940.0,15.0,27.0,133.0,16.0,0.0,60.0,3.0,112.0,56.0
440000,3940.0,13.0,15.0,133.0,17.0,0.0,55.0,9.0,108.0,56.0
450000,3940.0,12.0,11.0,132.0,16.0,0.0,47.0,6.0,123.0,57.0
460000,3940.0,11.0,9.0,132.0,12.0,0.0,38.0,5.0,119.0,57.0
470000,3940.0,11.0,5.0,132.0,9.0,0.0,34.0,5.0,120.0,57.0
480000,3940.0,10.0,5.0,130.0,7.0,0.0,26.0,7.0,126.0,59.0
490000,3940.0,5.0,4.0,128.0,10.0,0.0,18.0,5.0,124.0,61.0
500000,3938.0,13.0,78.0,135.0,12.0,0.0,40.0,3.0,121.0,67.0
510000,3938.0,12.0,58.0,135.0,11.0,0.0,47.0,5.0,128.0,67.0
520000,3938.0,9.0,35.0,134.0,10.0,0.0,54.0,6.0,132.0,68.0
530000,3938.0,7.0,23.0,132.0,10.0,0.0,52.0,6.0,135.0,70.0
540000,3938.0,7.0,18.0,131.0,8.0,0.0,45.0,6.0,145.0,71.0
550000,3938.0,7.0,15.0,128.0,7.0,0.0,35.0,7.0,146.0,74.0
560000,3938.0,5.0,12.0,128.0,7.0,0.0,31.0,5.0,142.0,74.0
570000,3938.0,4.0,10.0,128.0,6.0,0.0,28.0,2.0,150.0,74.0
580000,3938.0,3.0,7.0,126.0,4.0,0.0,23.0,4.0,136.0,76.0
590000,3938.0,3.0,4.0,125.0,4.0,0.0,19.0,3.0,132.0,77.0
600000,3938.0,9.0,79.0,135.0,6.0,0.0,37.0,6.0,136.0,80.0
610000,3938.0,8.0,63.0,135.0,7.0,0.0,42.0,0.0,136.0,80.0
620000,3938.0,7.0,40.0,134.0,7.0,0.0,51.0,4.0,139.0,81.0
630000,3938.0,5.0,29.0,134.0,8.0,0.0,47.0,6.0,140.0,81.0
640000,3938.0,5.0,23.0,133.0,6.0,0.0,37.0,5.0,148.0,82.0
650000,3938.0,4.0,18.0,133.0,6.0,0.0,27.0,5.0,160.0,82.0
660000,3938.0,4.0,11.0,133.0,5.0,0.0,27.0,3.0,161.0,82.0
670000,3938.0,3.0,5.0,130.0,6.0,0.0,18.0,8.0,167.0,85.0
680000,3938.0,1.0,2.0,129.0,8.0,0.0,16.0,3.0,165.0,86.0
690000,3938.0,1.0,0.0,128.0,6.0,0.0,13.0,3.0,169.0,87.0
700000,3938.0,11.0,70.0,137.0,4.0,0.0,41.0,1.0,167.0,91.0
710000,3938.0,7.0,47.0,134.0,8.0,0.0,49.0,7.0,172.0,94.0
720000,3938.0,5.0,31.0,134.0,8.0,0.0,49.0,6.0,181.0,94.0
730000,3938.0,4.0,24.0,134.0,8.0,0.0,46.0,6.0,181.0,94.0
740000,3938.0,2.0,14.0,134.0,10.0,0.0,42.0,9.0,191.0,94.0
