mcsteps,1,2,3,4,5,6,7,8,9,10
0,100.0,1069.0,976.0,110.0,18.0,0.0,114.0,0.0,0.0,28.0
10000,100.0,975.0,798.0,110.0,46.0,0.0,229.0,14.0,1.0,28.0
20000,100.0,898.0,689.0,108.0,70.0,0.0,285.0,23.0,16.0,30.0
30000,100.0,825.0,572.0,108.0,98.0,0.0,332.0,33.0,27.0,30.0
40000,100.0,752.0,475.0,108.0,114.0,1.0,362.0,31.0,39.0,30.0
50000,100.0,681.0,403.0,108.0,126.0,1.0,367.0,40.0,35.0,30.0
60000,100.0,618.0,343.0,108.0,140.0,0.0,364.0,38.0,46.0,30.0
70000,100.0,551.0,279.0,107.0,151.0,0.0,359.0,45.0,96.0,31.0
80000,100.0,491.0,222.0,107.0,160.0,0.0,356.0,36.0,99.0,31.0
90000,100.0,430.0,188.0,107.0,170.0,1.0,326.0,42.0,95.0,31.0
100000,100.0,432.0,239.0,117.0,168.0,1.0,329.0,42.0,90.0,34.0
110000,100.0,399.0,208.0,117.0,158.0,0.0,306.0,40.0,95.0,34.0
120000,100.0,358.0,179.0,117.0,157.0,0.0,287.0,35.0,141.0,34.0
130000,100.0,322.0,148.0,117.0,159.0,0.0,267.0,35.0,140.0,34.0
140000,100.0,288.0,120.0,117.0,152.0,0.0,245.0,32.0,135.0,34.0
150000,100.0,256.0,99.0,117.0,144.0,0.0,207.0,37.0,132.0,34.0
160000,100.0,231.0,77.0,117.0,131.0,0.0,193.0,24.0,132.0,34.0
170000,100.0,207.0,62.0,117.0,129.0,0.0,168.0,24.0,167.0,34.0
180000,100.0,189.0,55.0,117.0,114.0,1.0,148.0,20.0,149.0,34.0
190000,100.0,159.0,41.0,117.0,98.0,2.0,130.0,19.0,135.0,34.0
200000,100.0,165.0,122.0,125.0,81.0,2.0,121.0,27.0,112.0,39.0
210000,100.0,148.0,94.0,124.0,79.0,2.0,124.0,17.0,107.0,40.0
220000,100.0,138.0,81.0,124.0,72.0,2.0,110.0,18.0,131.0,40.0
230000,100.0,122.0,66.0,124.0,74.0,2.0,109.0,10.0,124.0,40.0
240000,100.0,107.0,52.0,123.0,70.0,1.0,105.0,11.0,108.0,41.0
250000,100.0,94.0,41.0,123.0,65.0,1.0,94.0,14.0,104.0,41.0
260000,100.0,75.0,33.0,123.0,67.0,1.0,79.0,15.0,95.0,41.0
270000,100.0,62.0,27.0,122.0,62.0,1.0,69.0,12.0,113.0,42.0
280000,100.0,51.0,24.0,122.0,58.0,1.0,63.0,6.0,103.0,42.0
290000,100.0,47.0,22.0,122.0,50.0,1.0,55.0,6.0,91.0,42.0
300000,100.0,54.0,92.0,132.0,39.0,0.0,75.0,8.0,86.0,45.0
310000,100.0,46.0,67.0,131.0,40.0,0.0,88.0,7.0,97.0,46.0
320000,100.0,42.0,50.0,131.0,41.0,0.0,86.0,15.0,91.0,46.0
330000,100.0,39.0,36.0,131.0,38.0,0.0,85.0,9.0,87.0,46.0
340000,100.0,35.0,26.0,130.0,34.0,0.0,79.0,8.0,85.0,47.0
350000,100.0,31.0,21.0,128.0,30.0,0.0,72.0,7.0,96.0,49.0
360000,100.0,28.0,17.0,127.0,25.0,0.0,62.0,8.0,94.0,50.0
370000,100.0,24.0,13.0,126.0,21.0,1.0,50.0,12.0,96.0,51.0
380000,100.0,18.0,6.0,126.0,22.0,0.0,48.0,3.0,112.0,51.0
390000,100.0,14.0,4.0,126.0,20.0,1.0,41.0,4.0,111.0,51.0
400000,100.0,22.0,71.0,135.0,18.0,1.0,67.0,6.0,104.0,55.0
410000,100.0,18.0,54.0,135.0,18.0,1.0,70.0,9.0,104.0,55.0
420000,100.0,17.0,36.0,135.0,18.0,1.0,64.0,10.0,124.0,55.0
430000,100.0,14.0,25.0,135.0,17.0,1.0,58.0,5.0,126.0,55.0
440000,100.0,14.0,18.0,134.0,15.0,1.0,51.0,10.0,118.0,56.0
450000,100.0,11.0,17.0,133.0,16.0,1.0,43.0,7.0,130.0,57.0
460000,100.0,11.0,12.0,132.0,11.0,1.0,38.0,5.0,130.0,58.0
470000,100.0,9.0,9.0,132.0,11.0,0.0,31.0,5.0,126.0,58.0
480000,100.0,8.0,4.0,132.0,11.0,0.0,31.0,4.0,132.0,58.0
490000,100.0,7.0,3.0,132.0,11.0,0.0,28.0,2.0,126.0,58.0
500000,100.0,14.0,69.0,142.0,11.0,0.0,55.0,4.0,115.0,61.0
