mcsteps,1,2,3,4,5,6,7,8,9,10
0,998.0,1053.0,959.0,109.0,33.0,0.0,135.0,0.0,0.0,29.0
10000,998.0,986.0,831.0,109.0,58.0,0.0,218.0,12.0,3.0,29.0
20000,998.0,909.0,715.0,108.0,82.0,0.0,284.0,16.0,16.0,30.0
30000,998.0,823.0,621.0,108.0,105.0,0.0,310.0,35.0,22.0,30.0
40000,998.0,759.0,525.0,108.0,123.0,0.0,340.0,28.0,44.0,30.0
50000,998.0,698.0,443.0,108.0,138.0,0.0,355.0,40.0,34.0,30.0
60000,998.0,632.0,357.0,108.0,150.0,0.0,375.0,38.0,43.0,30.0
70000,998.0,578.0,300.0,107.0,157.0,0.0,368.0,34.0,88.0,31.0
80000,998.0,513.0,249.0,107.0,163.0,0.0,351.0,36.0,90.0,31.0
90000,998.0,440.0,210.0,107.0,160.0,0.0,331.0,38.0,86.0,31.0
100000,997.0,431.0,280.0,117.0,161.0,0.0,324.0,32.0,84.0,34.0
110000,997.0,392.0,239.0,117.0,161.0,0.0,315.0,32.0,82.0,34.0
120000,997.0,362.0,205.0,117.0,160.0,1.0,304.0,31.0,124.0,34.0
130000,997.0,325.0,178.0,117.0,158.0,1.0,279.0,35.0,116.0,34.0
140000,997.0,290.0,140.0,117.0,154.0,1.0,261.0,33.0,125.0,34.0
150000,997.0,257.0,111.0,117.0,145.0,1.0,247.0,26.0,125.0,34.0
160000,997.0,225.0,89.0,117.0,142.0,1.0,226.0,32.0,124.0,34.0
170000,997.0,197.0,75.0,116.0,134.0,2.0,206.0,29.0,159.0,35.0
180000,997.0,178.0,57.0,115.0,112.0,2.0,190.0,27.0,145.0,36.0
190000,997.0,156.0,47.0,115.0,93.0,1.0,159.0,26.0,139.0,36.0
200000,997.0,158.0,129.0,125.0,83.0,1.0,155.0,17.0,136.0,39.0
210000,997.0,143.0,105.0,125.0,81.0,1.0,145.0,15.0,132.0,39.0
220000,997.0,127.0,75.0,124.0,82.0,1.0,144.0,19.0,151.0,40.0
230000,997.0,111.0,57.0,124.0,80.0,2.0,131.0,19.0,145.0,40.0
240000,997.0,100.0,44.0,124.0,74.0,1.0,113.0,22.0,136.0,40.0
250000,997.0,86.0,38.0,124.0,72.0,0.0,102.0,7.0,135.0,40.0
260000,997.0,75.0,29.0,124.0,70.0,0.0,89.0,15.0,116.0,40.0
270000,997.0,65.0,20.0,122.0,64.0,0.0,83.0,10.0,134.0,42.0
280000,997.0,60.0,18.0,121.0,53.0,0.0,62.0,10.0,138.0,43.0
290000,997.0,53.0,13.0,120.0,49.0,0.0,56.0,6.0,123.0,44.0
300000,997.0,59.0,89.0,130.0,38.0,0.0,71.0,4.0,105.0,47.0
310000,997.0,55.0,66.0,130.0,40.0,0.0,80.0,7.0,113.0,47.0
320000,997.0,47.0,53.0,128.0,36.0,0.0,78.0,7.0,96.0,49.0
330000,997.0,43.0,37.0,128.0,27.0,0.0,75.0,9.0,99.0,49.0
340000,997.0,39.0,25.0,128.0,25.0,1.0,74.0,7.0,93.0,49.0
350000,997.0,35.0,17.0,126.0,19.0,1.0,61.0,13.0,106.0,51.0
360000,997.0,30.0,11.0,125.0,19.0,1.0,48.0,11.0,101.0,52.0
370000,997.0,25.0,8.0,124.0,23.0,1.0,39.0,5.0,104.0,53.0
380000,997.0,25.0,3.0,124.0,22.0,1.0,37.0,5.0,111.0,53.0
390000,997.0,23.0,3.0,122.0,23.0,1.0,29.0,6.0,107.0,55.0
400000,997.0,32.0,79.0,130.0,19.0,0.0,45.0,6.0,107.0,60.0
410000,997.0,27.0,54.0,128.0,17.0,0.0,54.0,9.0,106.0,62.0
420000,997.0,22.0,35.0,127.0,20.0,0.0,59.0,11.0,117.0,63.0
430000,997.0,19.0,28.0,126.0,19.0,0.0,47.0,12.0,119.0,64.0
440000,997.0,17.0,23.0,126.0,15.0,0.0,40.0,5.0,125.0,64.0
450000,997.0,15.0,16.0,123.0,14.0,0.0,37.0,5.0,135.0,67.0
460000,997.0,14.0,10.0,123.0,12.0,0.0,32.0,6.0,132.0,67.0
470000,997.0,13.0,9.0,123.0,11.0,0.0,27.0,3.0,123.0,67.0
