mcsteps,xCOM,yCOM,zCOM,il8,il1,il6,il10,tnf,tgf
480000,435,163,0,1.5403628e-09,7.969395e-11,4.197085e-12,1.4363293e-15,2.6277413e-14,2.215132e-11
480000,132,338,0,1.6374767e-09,3.2543173e-11,1.2126186e-21,3.2383133e-37,2.7630369e-14,4.43433e-12
480000,401,391,0,1.5888633e-09,5.3938257e-11,2.363123e-22,4.511025e-35,3.4878916e-14,2.2138427e-10
480000,65,411,0,1.5114849e-09,1.1451543e-11,4.827923e-12,2.2658345e-15,9.5543885e-18,1.5782725e-10
480000,178,34,0,1.4538671e-09,1.6565865e-11,1.4046826e-12,9.54259e-17,1.3149996e-18,1.720027e-10
480000,200,141,0,1.8079099e-09,5.094827e-13,1.3321475e-33,0.0,1.0595794e-31,7.728696e-12
480000,231,429,0,1.7976135e-09,2.7177519e-11,2.6093116e-12,7.3630827e-16,2.9030712e-15,7.764957e-11
480000,247,168,0,1.7359826e-09,4.353282e-11,1.09202645e-27,0.0,2.5704155e-10,1.497254e-11
480000,66,339,0,1.606396e-09,1.2573844e-11,1.0198869e-22,5.072424e-39,3.657682e-19,2.076625e-11
480000,25,349,0,1.2995406e-09,1.1221413e-10,1.2781106e-13,1.6141902e-19,1.199334e-11,1.0662538e-10
480000,344,265,0,1.894844e-09,3.9220353e-11,2.6904175e-37,0.0,7.308704e-13,2.122766e-12
480000,275,448,0,1.5853042e-09,4.963558e-11,2.1248823e-15,1.6101232e-23,9.5343465e-17,4.6460415e-11
480000,164,186,0,1.7115501e-09,8.740272e-12,1.4636899e-10,1.9058094e-10,7.7275825e-10,5.986398e-14
480000,202,485,0,1.3275765e-09,5.853049e-11,1.11374965e-14,1.8238082e-22,1.7292681e-12,7.0043533e-11
480000,282,136,0,1.8033713e-09,3.1431985e-11,4.9953992e-23,3.073628e-38,3.3953082e-14,8.340967e-12
480000,175,357,0,1.8281842e-09,6.650549e-11,1.4954678e-33,0.0,5.578827e-15,3.20021e-17
480000,273,251,0,1.7094116e-09,1.4111601e-14,2.4e-44,0.0,1.7800326e-34,2.1937057e-23
480000,348,107,0,1.821877e-09,1.1294753e-11,1.7125461e-14,7.28686e-22,1.0797002e-22,2.2318577e-12
480000,249,316,0,1.7630402e-09,3.7675488e-12,1.16779624e-35,0.0,4.040515e-22,9.080365e-13
480000,107,320,0,1.8538385e-09,1.9318932e-12,1.6890117e-12,5.2764465e-17,1.25819074e-20,2.3979593e-11
480000,138,147,0,1.8607518e-09,4.0066466e-12,2.5524427e-20,6.0537506e-35,9.395814e-23,4.188507e-11
480000,351,83,0,1.7054821e-09,3.7695944e-12,8.5947756e-11,2.8255458e-12,2.976849e-13,2.1117388e-10
480000,74,23,0,1.2664703e-09,9.5141874e-11,3.451149e-13,1.3743113e-18,2.6419286e-10,1.7571136e-10
480000,22,228,0,1.3121721e-09,6.982374e-11,1.7394984e-12,3.7310713e-17,3.7814668e-13,7.39073e-12
480000,231,98,0,1.656089e-09,2.3622348e-13,5.857391e-16,3.1232068e-25,2.4610745e-31,3.1079115e-11
480000,246,62,0,1.4075064e-09,4.145288e-11,5.1424725e-29,0.0,2.616775e-09,2.7818687e-11
480000,257,228,0,1.8540904e-09,1.3365553e-16,3.0439345e-36,0.0,5.107622e-39,1.956682e-16
480000,185,51,0,1.4235286e-09,8.51296e-11,3.7327277e-11,7.1009854e-13,1.1803058e-11,1.4397297e-10
480000,279,74,0,1.5195923e-09,2.2989997e-11,4.87901e-13,1.3982562e-18,6.74321e-16,4.6398121e-10
480000,48,114,0,1.3621467e-09,6.3730105e-11,6.644698e-12,1.3928055e-15,3.091046e-14,3.1597277e-11
480000,412,68,0,1.4294531e-09,4.331322e-11,7.097513e-16,2.2690294e-24,9.851639e-13,9.697582e-11
480000,382,464,0,1.3912457e-09,1.1691935e-10,2.5298646e-15,8.839521e-23,5.449778e-14,4.930722e-10
480000,425,334,0,1.4192948e-09,6.754356e-13,3.6130545e-16,8.239144e-23,7.885267e-27,5.0568272e-11
480000,152,38,0,1.3640424e-09,4.96015e-12,2.7904702e-13,1.0024596e-16,1.1620521e-18,4.10912e-11
480000,310,123,0,1.7458301e-09,1.81056e-11,1.6633793e-24,2.00857e-40,1.7842896e-18,1.6200134e-10
480000,60,446,0,1.2923136e-09,5.5704615e-11,2.0555165e-10,3.4431295e-11,1.2850181e-11,9.484927e-11
480000,252,196,0,1.8140116e-09,1.3669542e-11,3.9287163e-14,1.00573425e-20,7.256183e-17,2.4006163e-13
