meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,7.01297e-10,0.0,0.0,0.0,0.0,0.0,3.418538e-10,0.0,0.0,0.0,0.0,0.0
10000,6.0248556e-10,1.6308021e-11,0.0,0.0,2.9546688e-11,0.0,4.0894452e-10,1.9173207e-10,0.0,0.0,3.475977e-10,0.0
20000,5.720892e-10,1.7054474e-11,7.1680535e-12,1.4560833e-12,3.2739877e-11,2.0070946e-12,4.2745094e-10,1.945979e-10,1.5528337e-10,3.223869e-11,3.561572e-10,7.7402654e-11
30000,5.652114e-10,4.9306025e-11,6.801735e-12,1.4120508e-12,9.121783e-11,1.9589241e-12,4.3589213e-10,3.3030742e-10,1.5326093e-10,3.183571e-11,6.0056e-10,7.643478e-11
40000,5.735421e-10,5.999962e-11,2.9077562e-11,6.0204138e-12,1.1571271e-10,9.619038e-12,4.4028295e-10,3.6018283e-10,3.1535402e-10,6.5503276e-11,6.590951e-10,1.6925997e-10
50000,5.890314e-10,6.920008e-11,1.784675e-11,3.6957937e-12,1.3025617e-10,2.8179997e-11,4.4442272e-10,3.828267e-10,2.4753855e-10,5.1419053e-11,7.07809e-10,2.8651115e-10
60000,6.027275e-10,9.050857e-11,2.4553625e-11,5.109737e-12,1.6811383e-10,2.5594244e-11,4.4536352e-10,4.372673e-10,2.871137e-10,6.022861e-11,7.99582e-10,2.7317737e-10
70000,6.1842775e-10,1.093636e-10,2.912282e-11,6.0917235e-12,2.0618636e-10,2.2209297e-11,4.4437312e-10,4.779697e-10,3.080336e-10,6.539885e-11,8.810131e-10,2.526882e-10
80000,6.371997e-10,1.1414982e-10,2.5620103e-11,5.2481548e-12,2.1269306e-10,5.040898e-11,4.4530676e-10,4.8467813e-10,2.9442884e-10,6.112039e-11,8.967606e-10,3.776319e-10
90000,6.7957756e-10,1.1798285e-10,2.8900765e-11,5.992181e-12,2.1309225e-10,5.8070826e-11,4.4644027e-10,4.8587795e-10,3.0843433e-10,6.4985545e-11,8.9448093e-10,4.05955e-10
100000,6.9712563e-10,1.0795127e-10,4.9011205e-11,1.0423606e-11,2.0421706e-10,6.1538975e-11,4.4545534e-10,4.666376e-10,4.001046e-10,8.503882e-11,8.67473e-10,4.1528975e-10
110000,7.128769e-10,1.2207771e-10,3.0092227e-11,6.0894696e-12,2.1561307e-10,6.714985e-11,4.5274942e-10,4.895184e-10,3.1852934e-10,6.582948e-11,8.99357e-10,4.363329e-10
120000,7.277648e-10,1.4940807e-10,3.733509e-11,7.635956e-12,2.6885488e-10,7.802991e-11,4.5223628e-10,5.4636334e-10,3.4412875e-10,7.2305405e-11,9.974382e-10,4.665998e-10
130000,7.451913e-10,1.4154128e-10,3.4530066e-11,7.163348e-12,2.5679237e-10,1.1734795e-10,4.498083e-10,5.266192e-10,3.349005e-10,7.0712464e-11,9.753915e-10,5.69686e-10
140000,7.7077766e-10,1.4521329e-10,4.1621488e-11,8.8314555e-12,2.589489e-10,1.13041805e-10,4.532925e-10,5.325209e-10,3.731187e-10,8.1879864e-11,9.763564e-10,5.564792e-10
150000,7.947209e-10,1.2656713e-10,4.7169366e-11,9.944039e-12,2.382672e-10,1.1994629e-10,4.5502918e-10,4.969301e-10,3.8519513e-10,8.247324e-11,9.308465e-10,5.6933325e-10
160000,8.3567103e-10,1.460161e-10,2.9490212e-11,6.064543e-12,2.814252e-10,1.3432662e-10,4.5434148e-10,5.270015e-10,2.9593902e-10,6.395891e-11,1.0303302e-09,5.9896116e-10
170000,8.656175e-10,1.3831576e-10,3.479551e-11,7.2222692e-12,2.538115e-10,1.3260056e-10,4.5373422e-10,5.1145616e-10,3.2446204e-10,6.988914e-11,9.771268e-10,5.8726496e-10
180000,8.7613683e-10,1.3427406e-10,5.3255365e-11,1.0936568e-11,2.485977e-10,1.7278642e-10,4.5078563e-10,5.048055e-10,4.056719e-10,8.613124e-11,9.738385e-10,6.725457e-10
190000,9.0474045e-10,1.307213e-10,4.7039952e-11,9.478639e-12,2.4417215e-10,1.8009223e-10,4.5248263e-10,4.9083393e-10,3.8355313e-10,8.038303e-11,9.505208e-10,6.896457e-10
200000,9.304068e-10,1.1314197e-10,3.999423e-11,8.006757e-12,1.98738e-10,1.8019473e-10,4.5153808e-10,4.5154083e-10,3.5084918e-10,7.398077e-11,8.563721e-10,6.8689304e-10
