Processor nr,Endothelial Count,PP_h,RP_h,IP_h,Total sim time
1,1000,0.61,1.22,0.7300000000000002,2.56
1,1000,0.77,1.54,0.8999999999999999,3.21
1,1000,0.63,1.22,0.7300000000000002,2.58
1,1000,0.62,1.22,0.7299999999999998,2.57
1,1000,0.61,1.22,0.72,2.55
2,1000,0.66,1.31,0.77,2.74
2,1000,0.65,1.3,0.78,2.73
2,1000,0.66,1.31,0.7599999999999998,2.73
2,1000,0.66,1.31,0.77,2.74
4,1000,0.53,1.01,0.5899999999999999,2.13
4,1000,0.53,1.01,0.5899999999999999,2.13
6,1000,0.74,1.5,0.8700000000000001,3.11
6,1000,0.74,1.48,0.8699999999999997,3.09
8,1000,0.78,1.54,0.9100000000000001,3.23
8,1000,0.67,1.35,0.79,2.81
8,1000,0.78,1.61,0.9299999999999999,3.32
